Hi (A/m)	Aimantation chopped corr (T)
2788310.683	0.767264491
2713548.619	0.757202055
2633377.795	0.7584731
2557955.691	0.749787629
2475771.91	0.755224875
2398174.557	0.75109398
2322667.833	0.742585043
2243673.738	0.741384612
2164079.342	0.741419919
2089172.919	0.731675244
2013031.037	0.724507965
1936914.037	0.71730538
1856169.812	0.719706241
1777361.882	0.718117436
1700018.39	0.713456939
1622742.594	0.708655215
1543918.749	0.70706641
1468546.409	0.698310325
1392743.009	0.69043691
1313334.778	0.690083842
1237345.213	0.682598802
1159781.708	0.678397294
1085552.248	0.667240347
1009757.814	0.659331626
932337.6591	0.654847663
854833.8925	0.650504928
778023.0049	0.64474992
702659.631	0.635958529
626974.6995	0.627837967
552906.5226	0.616327952
477525.216	0.607607174
463320.0631	0.604005881
448580.2886	0.601569713
433621.5095	0.599557226
417181.3685	0.600651736
403161.3719	0.596697375
387829.2543	0.595496944
373478.7337	0.592248719
358901.2509	0.589424176
343146.0311	0.589106415
328059.8171	0.587376382
314970.6453	0.581480148
300138.2926	0.579220513
284967.4581	0.577667014
272352.1608	0.570782189
257181.3263	0.56922869
243398.267	0.564780035
230944.2527	0.557542142
215967.541	0.555600268
201913.6962	0.551716521
187809.0792	0.547938694
174475.0125	0.542536755
161825.867	0.535722544
148812.3493	0.529685083
135689.3294	0.523859462
122846.0612	0.517433625
109426.3654	0.512243527
97564.69424	0.503769897
85735.86266	0.49526096
73552.63385	0.487458158
61198.14697	0.480079039
49116.46268	0.472064397
40148.81041	0.457553305
28810.77735	0.448020471
14723.08444	0.444207337
5459.764941	0.430296461
-6436.762988	0.421928751
-18256.62823	0.413384507
-30236.768	0.405158024
-41346.83018	0.395166202
-51947.15256	0.384044562
-62971.58571	0.373840899
-73996.01885	0.363637236
-88963.76429	0.361660055
-97966.27333	0.347254884
-109109.1751	0.337298368
-122299.8914	0.331613975
-134035.1362	0.322893197
-146565.8131	0.315831838
-157395.1149	0.305204494
-168716.2239	0.295636353
-180730.2118	0.287480484
-194573.0098	0.283173055
-205707.9538	0.273216539
-217340.6455	0.264248614
-229964.9092	0.257399096
-240744.4473	0.246701138
-254916.7607	0.243064538
-265618.6276	0.232154739
-278742.6561	0.226364425
-289579.9157	0.215737081
-300274.8335	0.204862589
-313973.2724	0.200237399
-322679.1056	0.185196705
-333728.4206	0.175028349
-344406.4142	0.16411855
-354161.5409	0.151266877
-364695.1755	0.140039317
-376067.0567	0.130577096
-384662.3791	0.115289255
-393613.1073	0.100742857
-402412.5273	0.085914004
-411838.1385	0.072391502
-419688.801	0.055550162
-429537.5144	0.04291033
-436491.2003	0.02419773
-443648.9839	0.005944118
-506237.2967	-0.129139672
-511651.8993	-0.151029883
-520746.9866	-0.165258521
-525840.0315	-0.187819561
-534096.8721	-0.203813538
-540493.0717	-0.223655956
-550222.3079	-0.236578242
-556152.5909	-0.25740925
-563462.6912	-0.275345101
-574216.339	-0.286113672
-580289.9723	-0.306662226
-588530.8975	-0.322656203
-598015.2387	-0.336072784
-605392.0268	-0.353902715
-613302.4279	-0.370602828
-623709.6362	-0.382077535
-633125.2725	-0.395670651
-682603.7595	-0.458446128
-738072.3647	-0.508758308
-796706.7828	-0.552432811
-863523.4927	-0.579054132
-930737.4144	-0.604863398
-1000812.515	-0.624670509
-1072063.336	-0.642041451
-1143348.005	-0.659341779
-1220225.58	-0.664990866
-1295090.198	-0.674806155
-1370555.116	-0.683385705
-1444251.972	-0.695637162
-1522652.715	-0.698108638
-1597000.644	-0.709018437
-1673708.978	-0.715020592
-1752965.901	-0.715656114
-1829555.767	-0.721905416
-1905985.358	-0.72847248
-1982770.355	-0.7342981
-2059732.551	-0.739770653
-2137313.989	-0.743901548
-2213023.802	-0.751986804
-2293819.808	-0.749444715
-2372035.395	-0.752269258
-2446771.569	-0.762402308
-2525656.161	-0.763814579
-2607103.24	-0.759930832
-2681908.119	-0.769887348
-2762763.864	-0.767204031
-2838498.559	-0.77525398
-2761671.756	-0.769498973
-2687103.814	-0.759048162
-2601569.064	-0.771476153
-2525021.004	-0.765156237
-2451968.272	-0.751527815
-2373761.652	-0.748667965
-2290223.944	-0.756929755
-2213125.347	-0.751774963
-2135215.402	-0.74827959
-2057829.095	-0.743725014
-1983938.117	-0.731861932
-1902972.87	-0.734757089
-1824944.457	-0.731508864
-1750832.457	-0.720140077
-1673057.905	-0.71636225
-1594614.347	-0.713996695
-1517473.944	-0.708912516
-1441899.524	-0.700544807
-1363388.27	-0.698320479
-1287008.442	-0.691682802
-1210300.108	-0.685680647
-1133684.351	-0.679501958
-1056408.556	-0.674700234
-980943.6371	-0.666120684
-903989.3991	-0.660648131
-830258.6953	-0.648467287
-751299.4572	-0.647160936
-678314.4219	-0.633391287
-603568.2729	-0.623328851
-527680.2523	-0.61563197
-512618.9201	-0.61386663
-497618.3351	-0.611924757
-481651.06	-0.612065984
-465786.3379	-0.611960063
-452993.842	-0.605428307
-435893.6616	-0.607899782
-422195.2226	-0.603274592
-408505.7501	-0.598614096
-393495.1901	-0.596742836
-378536.411	-0.594730348
-363381.4921	-0.59317685
-347965.7626	-0.592117646
-334919.4054	-0.586115491
-321364.3169	-0.581207847
-308732.0955	-0.574358329
-291590.1092	-0.576900418
-279211.749	-0.569521298
-266062.8387	-0.563766291
-250427.0961	-0.563166076
-238395.1755	-0.55508082
-224705.7029	-0.550420323
-209255.1167	-0.54946704
-198104.2572	-0.539510525
-186225.6619	-0.531072201
-172019.5004	-0.527506215
-157287.6836	-0.525070046
-143597.2025	-0.520444856
-132717.1283	-0.509923432
-125686.7797	-0.491387366
-110363.6285	-0.490151628
-98704.03777	-0.481289623
-89127.11836	-0.468049576
-76951.84729	-0.460246775
-66976.70754	-0.44785409
-52770.54602	-0.444288104
-39461.36112	-0.438850858
-31330.94686	-0.422609733
-18647.95318	-0.415866136
-9603.638214	-0.401531578
2978.819537	-0.394611447
13359.12878	-0.383030819
25780.30341	-0.375757619
40112.89129	-0.372438781
48235.3478	-0.356197656
61138.35461	-0.349913047
72958.21985	-0.341368803
86893.59598	-0.337237908
97418.26426	-0.325975042
111455.1849	-0.322055988
121658.2955	-0.310122292
132573.2264	-0.299706788
144563.3411	-0.291550919
155552.9175	-0.281241335
168785.4397	-0.275627555
181942.3078	-0.269872548
194541.6897	-0.262987723
207452.6542	-0.256703114
218028.0948	-0.245546167
227927.5804	-0.233012256
237581.1625	-0.219948743
250061.0672	-0.212781464
265307.5557	-0.211369192
273176.1509	-0.194598465
284513.1754	-0.185030325
294074.1793	-0.171790277
307721.846	-0.167059167
316013.5434	-0.15117111
324676.5621	-0.136024496
337274.9353	-0.129104365
411202.2898	0.015476952
418494.4575	0.033483416
424585.015	0.053996663
435381.4772	0.064659314
443113.6711	0.081747802
449602.449	0.101413686
458012.615	0.117054595
465939.9402	0.133719401
469467.0028	0.159563973
479171.3571	0.172521566
485490.8941	0.192540518
493214.1216	0.209664312
500262.4029	0.228129765
507208.1311	0.246842365
516083.2052	0.261529991
523942.8341	0.278336024
532800.9841	0.293058957
537495.8086	0.316467361
546092.1396	0.331719895
557852.2662	0.340405366
565788.5578	0.357034866
573106.6159	0.374970716
581321.6506	0.391035307
634091.3682	0.446961267
688510.6801	0.499462468
746949.9669	0.543560652
812345.0534	0.573147744
882580.4289	0.592637094
950497.2045	0.616963474
1023228.379	0.631262725
1096257.237	0.644891147
1172636.056	0.651564131
1244910.28	0.666816666
1320882.921	0.674337013
1395763.454	0.684152301
1473234.381	0.688530343
1549410.111	0.695627009
1624933.759	0.704100639
1703022.92	0.70717233
1701041.793	0.711338532
1856600.872	0.718823572
1933030.463	0.725390635
2011026.037	0.728674167
2090534.804	0.728850701
2164062.418	0.741455226
2242395.465	0.744067929
2319155.58	0.749928856
2397405.015	0.752682786
2476245.785	0.754236285
2553267.719	0.759567611
2635053.28	0.754977728
2712253.422	0.759920678
2789689.492	0.764404641
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
